DayStepNumber,MinHourWage(cents),MaxHourWage(cents),MeanHourWage(cents),MedianHourWage(cents),MinHoursPerDay,MaxHoursPerDay,MeanHoursPerDay,MedianHoursPerDay,MinDailyWage(cents),MaxDailyWage(cents),MeanDailyWage(cents),MedianDailyWage(cents),Quantity
83,60,73,65.89825581395348,66,4,4,4.0,4,240,292,263.59302325581393,264,344
84,60,73,64.99744897959184,65,4,4,4.0,4,240,292,259.98979591836735,260,392
85,60,73,64.95027624309392,65,4,4,4.0,4,240,292,259.8011049723757,260,362
86,60,73,64.32450331125828,63,4,4,4.0,4,240,292,257.29801324503313,252,302
87,58,73,63.9874213836478,63,4,4,4.0,4,232,292,255.9496855345912,252,318
88,58,73,63.59748427672956,62,4,4,4.0,4,232,292,254.38993710691824,248,318
89,57,73,63.16138328530259,62,4,4,4.0,4,228,292,252.64553314121036,248,347
90,57,73,62.84347826086957,61,4,4,4.0,4,228,292,251.37391304347827,244,345
91,57,73,63.15529411764706,62,4,4,4.0,4,228,292,252.62117647058824,248,425
92,57,73,62.99088838268793,62,4,4,4.0,4,228,292,251.9635535307517,248,439
93,57,69,62.43735224586288,62,4,4,4.0,4,228,276,249.74940898345153,248,423
94,57,69,62.15234375,61,4,4,4.0,4,228,276,248.609375,244,512
95,57,69,62.07070707070707,61,4,4,4.0,4,228,276,248.2828282828283,244,594
96,54,69,61.33169934640523,61,4,4,4.0,4,216,276,245.32679738562092,244,612
97,54,69,61.50636492220651,61,4,4,4.0,4,216,276,246.02545968882603,244,707
98,54,69,61.38616714697406,61,4,4,4.0,4,216,276,245.54466858789624,244,694
99,54,69,61.37536231884058,61,4,4,4.0,4,216,276,245.50144927536232,244,690
100,54,69,61.304221251819506,61,4,4,4.0,4,216,276,245.21688500727802,244,687
101,54,69,61.30882352941177,61,4,4,4.0,4,216,276,245.23529411764707,244,680
102,53,68,61.15339233038348,61,4,4,4.0,4,212,272,244.61356932153393,244,678
103,53,68,61.130699088145896,61,4,4,4.0,4,212,272,244.52279635258358,244,658
104,53,68,61.06200317965024,61,4,4,4.0,4,212,272,244.24801271860096,244,629
105,53,68,60.97026604068858,61,4,4,4.0,4,212,272,243.8810641627543,244,639
106,53,68,61.025518341307816,61,4,4,4.0,4,212,272,244.10207336523126,244,627
107,53,68,60.0671031096563,61,4,4,4.0,4,212,272,240.2684124386252,244,611
108,52,68,59.736328125,60,4,4,4.0,4,208,272,238.9453125,240,512
109,52,68,59.50766283524904,60,4,4,4.0,4,208,272,238.03065134099617,240,522
110,52,68,59.483739837398375,60,4,4,4.0,4,208,272,237.9349593495935,240,492
111,51,67,58.75714285714286,58,4,4,4.0,4,204,268,235.02857142857144,232,420
112,51,67,59.33996023856859,60,4,4,4.0,4,204,268,237.35984095427435,240,503
113,51,67,59.17467248908297,60,4,4,4.0,4,204,268,236.6986899563319,240,458
114,51,66,58.49633251833741,59,4,4,4.0,4,204,264,233.98533007334964,236,409
115,51,66,58.65892857142857,60,4,4,4.0,4,204,264,234.63571428571427,240,560
116,51,66,57.88819875776397,58,4,4,4.0,4,204,264,231.5527950310559,232,644
117,51,66,57.71822358346095,58,4,4,4.0,4,204,264,230.8728943338438,232,653
118,51,66,57.502906976744185,58,4,4,4.0,4,204,264,230.01162790697674,232,688
119,51,66,57.51970802919708,58,4,4,4.0,4,204,264,230.07883211678833,232,685
120,51,66,57.20253164556962,58,4,4,4.0,4,204,264,228.81012658227849,232,711
121,51,66,56.764411027568926,57,4,4,4.0,4,204,264,227.0576441102757,228,798
122,51,66,56.69613947696139,57,4,4,4.0,4,204,264,226.78455790784557,228,803
123,51,66,56.40797940797941,55,4,4,4.0,4,204,264,225.63191763191764,220,777
124,51,66,56.46606914212548,55,4,4,4.0,4,204,264,225.8642765685019,220,781
125,49,66,55.96564417177914,54,4,4,4.0,4,196,264,223.86257668711656,216,815
126,49,66,55.30171277997365,53,4,4,4.0,4,196,264,221.2068511198946,212,759
127,49,66,54.85586734693877,53,4,4,4.0,4,196,264,219.4234693877551,212,784
128,49,65,54.3289156626506,53,4,4,4.0,4,196,260,217.3156626506024,212,830
129,49,62,54.17123287671233,53,4,4,4.0,4,196,248,216.68493150684932,212,876
130,49,62,54.04274465691788,53,4,4,4.0,4,196,248,216.17097862767153,212,889
131,49,62,53.21522309711286,53,4,4,4.0,4,196,248,212.86089238845145,212,762
132,49,63,53.32928475033738,53,4,4,4.0,4,196,252,213.31713900134952,212,741
133,49,63,53.413496932515336,53,4,4,4.0,4,196,252,213.65398773006135,212,815
134,48,63,53.334916864608076,53,4,4,4.0,4,192,252,213.3396674584323,212,842
135,48,63,53.00593824228029,52,4,4,4.0,4,192,252,212.02375296912115,208,842
136,48,60,52.8938679245283,52,4,4,4.0,4,192,240,211.5754716981132,208,848
137,48,60,52.77391304347826,51,4,4,4.0,4,192,240,211.09565217391304,204,805
138,48,60,52.65398335315101,51,4,4,4.0,4,192,240,210.61593341260405,204,841
139,48,60,52.6159169550173,51,4,4,4.0,4,192,240,210.4636678200692,204,867
140,48,62,52.689189189189186,51,4,4,4.0,4,192,248,210.75675675675674,204,888
141,48,62,52.70036540803898,51,4,4,4.0,4,192,248,210.8014616321559,204,821
142,48,62,52.583230579531445,51,4,4,4.0,4,192,248,210.33292231812578,204,811
143,48,62,52.48233861144945,51,4,4,4.0,4,192,248,209.9293544457978,204,821
144,48,61,52.405,51,4,4,4.0,4,192,244,209.62,204,800
145,48,61,52.45682102628285,51,4,4,4.0,4,192,244,209.8272841051314,204,799
146,48,61,52.42874251497006,51,4,4,4.0,4,192,244,209.71497005988024,204,835
147,48,61,52.31199068684517,51,4,4,4.0,4,192,244,209.24796274738068,204,859
148,46,61,52.0989010989011,51,4,4,4.0,4,184,244,208.3956043956044,204,819
149,46,61,51.93202614379085,51,4,4,4.0,4,184,244,207.7281045751634,204,765
150,46,61,51.93202614379085,51,4,4,4.0,4,184,244,207.7281045751634,204,770
